Date,City,Province,Incident,Type of Violence,Age of Victim,Gender of Victim,Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),News Report Link,Follow-up?,Follow-up link,Headlines
"8th April, 2021",Kohat,KP,A woman was arrested for the murder of a 4 year old girl. The woman confessed that she took revenge on the girl as she wanted to marry the girl's uncle but her father was the main hurdle to it.,"Child abuse, murder",4,Female,,,,,https://www.thenews.com.pk/print/816599-woman-accused-of-killing-girl-child-arrested-in-kohat,,,
"8th April, 2021",Nowshera,KP,man killed his mother in the name of honour on suspicion that she used to speak to strangers on phone.,"Domestic violence, honour killing, murder",,Female,,,,,https://www.thenews.com.pk/print/817336-man-kills-mother-for-honour,,,
"8th April, 2021",Karachi,Sindh,"A woman set a husband’s second wife on fire, severely injuring her",Domestic violence,22,Female,,,,,https://www.thenews.com.pk/print/817063-woman-sets-husband-s-second-wife-on-fire,,,
"9th April, 2021",Karachi,Sindh,"Police arrested four suspects, including a policeman, for their alleged involvement in blackmailing the woman, prompting her to commit suicide.","Blackmailing, suicide",36,Female,,,,,https://www.thenews.com.pk/print/817682-four-arrested-for-blackmailing-woman-who-committed-suicide,,,
"10th April, 2021",Lahore,Punjab,Woman shot dead by her former husband,"Domestic violence, murder",40,Female,,,,,https://www.thenews.com.pk/print/818373-woman-shot-dead-by-her-former-husband-in-lahore,,,
"10th April, 2021",Karachi,Sindh,"Police arrested four teenage friends for their alleged involvement in the gang rape of a teenage girl and filming the incident. The four boys had raped the complainant’s daughter and filmed a video of their crime, which later went viral on social media. ","Gang rape, non-consensua filming, blackmailing",,Female,,,,,https://www.thenews.com.pk/print/818195-four-teenagers-who-gang-raped-girl-and-recorded-video-arrested,,,
"13th April, 2021",Peshawar,KP,Khyber Pakhtunkhwa Ombudsperson for Protection against Harassment of Women Rakhshanda Naz ordered the removal of Political Science Department chairman at the Islamia College for sexual harassment against female students.,Sexual harassment,,Female,,,,,https://www.thenews.com.pk/print/819832-professor-removed-in-sexual-harassment-case,,,
"28th April, 2021",Karachi,Sindh,"(Reported later) Man, ex-wife burns his second wife after she refused to give her consent to him remarrying his first wife","Domestic violence, murder, burning",,Female,,,,,,Yes,https://www.thenews.com.pk/print/873752-man-ex-wife-charged-with-murdering-second-wife,
"1st May, 2021",Haripur,KP,A teenage girl disclosed that their neighbour allegedly raped her and threatened her of dire consequences if she disclosed the matter.,"Child abuse, rape",13,Female,,,,,https://www.thenews.com.pk/print/829640-teenage-girl-molested-in-haripur,,,
"1st May, 2021",Karachi,Sindh,A city court ordered the exhumation of the body of a woman who was allegedly raped and murdered before she was secretly buried inside a shrine by its caretaker.,"Rape, murder",55,Female,,,,,,Yes,https://www.thenews.com.pk/print/857392-raped-murdered-woman-secretly-buried-at-shrine-to-be-exhumed,
"2nd May, 2021",Lahore,Punjab,A differently abled teenage girl was raped by two men,"Child abuse, rape",13,Female,,,,,https://www.thenews.com.pk/print/829514-special-girl-gang-raped,,,
"22nd May, 2021",Karachi,Sindh,The police arrested a man alleged to be involved in sodomising young children in Bin Qasim Town.,"Child abuse, rape",12,Male,,,,,https://www.thenews.com.pk/print/838746-serial-child-molester-arrested-in-bin-qasim-raid,,,
"26th May, 2021",Karachi,Sindh,A girl at an orphanage was raped by a man who called called inside her office and subjected her to rape.,"Child abuse, rape",16,Female,,,,,,Yes,https://www.thenews.com.pk/print/850027-suspect-remanded-in-16-year-old-orphan-girl-s-rape-case; https://www.thenews.com.pk/print/851570-orphanage-rape-victim-records-her-statement-before-judge ,
"31st May, 2021",Lahore,Punjab,Minor domestic worker gang-raped by two brothers,"Child abuse, gang rape",12,Female,,,,,https://www.thenews.com.pk/print/842405-maid-gang-raped-in-nawab-town,,,
"31st May, 2021",Karachi,Sindh,Neighbour and ex-partner kills girl after relationship ends,"Murder, domestic violence",22,Female,,,,,https://www.thenews.com.pk/print/843307-jilted-lover-arrested-for-killing-girl,,,
"2nd June, 2021",Karachi,Sindh,A woman was stabbed to death by her husband ,"Murder, domestic violence",50,Female,,,,,https://www.thenews.com.pk/print/843678-man-stabs-wife-to-death-in-landhi,,,
"3rd June, 2021",Mardan,KP,Husband accused of murdering his wife and sister,"Murder, domestic violence",,Female,Female,,,,https://www.thenews.com.pk/print/844446-two-women-killed-in-mardan,,,
"7th June, 2021",Haripur,KP,A man stoned his grand-daughter to death in the name of honour when he suspected she was in a relationship with someone,"Murder, honour killing, domestic violence",16,Female,,,,,https://www.thenews.com.pk/print/846276-man-stones-grand-daughter-to-death-in-haripur,,,
"7th June, 2021",Lahore,Punjab,"A young girl sustained burns in her hands, face and neck when she was attacked with an acid by a man over refusal of marriage",Acid attack,27,Female,,,,,https://www.thenews.com.pk/print/846176-marriage-refusal-maid-injured-in-acid-attack,,,
"8th June, 2021",Karachi,Sindh,Foreign-national woman and her son being tortured by her husband and inlaws,Domestic violence,,Female,,,,,https://www.thenews.com.pk/print/846498-landhi-man-arrested-for-torturing-mexican-wife,,,
"8th June, 2021",Lahore,Punjab,A woman was killed by ex-husband and brother in law and they attempted to bury the body in their house,"Murder, domestic violence",40,Female,,,,,https://www.thenews.com.pk/print/846527-man-kills-ex-wife-attempts-to-bury-body-in-house,,,
"9th June, 2021",Haripur,KP,The police arrested a local shopkeeper for alleged sexual abuse of a minor boy in the city. The incidnet of abuse was captured by someone on mobile phone and then handed over to the police.,"Child abuse, sexual assault",11,Male,,,,,https://www.thenews.com.pk/print/847208-shopkeeper-arrested-for-sexual-abuse-of-minor-boy,,,
"13th June, 2021",Karachi,Sindh,Woman shot for unknown reasons,Murder,,Female,,,,,https://www.thenews.com.pk/print/849166-woman-shot-dead-in-landhi,,,
"17th June, 2021",Dera Ismail Khan,KP,A couple was shot dead for honour for marrying against the wishes of the women's family,"Murder, honour killing",22,Female,Male,,,,https://www.thenews.com.pk/print/851325-couple-shot-dead-for-honour-in-di-khan,Yes,https://www.thenews.com.pk/print/851812-honour-killing-accused-held,
"17th June, 2021",Karachi,Sindh,Man sentenced to 5 years for harassing and blackmailing ex wife online,"Online harassment, non-consensual filming, blackmailing",,Female,,,,,https://www.thenews.com.pk/print/851100-man-gets-five-years-in-jail-for-defaming-ex-wife-on-internet; https://www.dawn.com/news/1629906/karachi-court-sentences-man-to-12-years-imprisonment-for-harassing-ex-wife-on-facebook,,,
"17th June, 2021",Lahore,Punjab,"A case was registered against JUI cleric Mufti Aziz ur Rehman, his sons, and two other unidentified men after a video of the cleric sexually assaulting a student went viral on social media",,,Male,,,,,https://www.geo.tv/latest/355465-mufti-aziz-ur-rehman-booked-for-allegedly-sexually-assaulting-student,Yes,https://www.thenews.com.pk/print/852723-mufti-aziz-sons-arrested; https://www.thenews.com.pk/print/855342-student-sex-viral-video-court-extends-remand-of-cleric-till-28th; https://www.dawn.com/news/1631995/in-dramatic-about-face-mufti-aziz-denies-sexually-assaulting-student-says-police-pressuring-him-to-confess; https://www.thenews.com.pk/print/860118-mufti-aziz-s-forensic-report-matches-seminary-student ,
"18th June, 2021",Karachi,Sindh,Police arrested two men who used drugs in food to subject a teenage girl to rape. They also made a video of the victim.,"Child abuse, rape",,Female,,,,,https://www.thenews.com.pk/print/851569-two-suspects-held-in-teenage-girl-s-rape-case,,,
"20th June, 2021",Dera Ismail Khan,KP,Man held for raping and murdering a woman after her body was found dumped in a deserted in place,"Rape, murder",,Female,,,,,https://www.thenews.com.pk/print/852714-man-held-in-rape-cum-murder-case,,,
"22nd June, 2021",Lahore,Punjab,"Boy arrested on July 3, 2021 for raping a girl in class three.","Child abuse, rape","Unknown, but minor",Female,,,,,https://www.thenews.com.pk/print/859059-boy-arrested-for-raping-school-fellow,,,
"23rd June, 2021",Karachi,Sindh,"A man was shot and killed by his wife after her learnt about the wife's relationship with another person. Upon learning, he beat up his wife.","Domestic violence, murder",65,Male,,,,,https://www.thenews.com.pk/print/854004-man-held-for-torturing-elderly-woman,,,
"26th June, 2021",Karachi,Sindh,A man killed his wife and mother in law after a domestic dispute,"Domestic violence, murder","22, 50",Female,Female,,,,https://www.thenews.com.pk/print/855691-man-kills-tiktoker-wife-mother-in-law-in-landhi,,,
"26th June, 2021",Karachi,Sindh,A woman's dead body was found in a garbage dumb was later found to be a murder by her husband with the help of two friends,"Domestic violence, murder",26,Female,,,,,,Yes,https://www.thenews.com.pk/print/862077-man-arrested-for-killing-wife-dumping-her-body-in-quaidabad,
"28th June, 2021",Lahore,Punjab,A man was arrrested for allegedly subjecting a special minor girl to a sexual assault,"Child abuse, rape","Unknown, but minor",Female,,,,,https://www.thenews.com.pk/print/856603-special-girl-assaulted-accused-arrested,,,
"28th June, 2021",Mardan,KP,Man arrested for killing his wife due to domestic dispute,"Domestic violence, murder",,Female,,,,,https://www.thenews.com.pk/print/856479-man-arrested-for-allegedly-killing-wife,,,
,,,,,,,,,,,,,,
"29th June, 2021",Karachi,Sindh,"A man killed his sister-in-law, Hafsa, in Paposh Nagar by shooting her in the head, adding that he had tried to hide the incident from the police and managed to escape during the investigation.","Domestic violence, murder",,Female,,,,,https://www.thenews.com.pk/print/857394-man-on-the-run-after-killing-sister-in-law-gunned-down,,,
"2nd July, 2021",Peshawar,KP,A woman was injured when attacked with acid,Acid attack,,Female,,,,,https://www.thenews.com.pk/print/858653-woman-injured-in-acid-attack,,,
"3rd July, 2021",Peshawar,KP,Police arrested two brothers after their video of torturing their sister and an elderly women went viral on social media. The violence was due to a property dispute.,"Domestic violence, assault",,Female,Female,,,,https://www.thenews.com.pk/print/859158-two-held-for-torturing-sister,,,
"5th July, 2021",Charsadda,KP,A man allegedly shot dead his wife and injured his sister-in-law outside the District Judicial Complex while appearing in family court,"Domestic violence, murder",,Female,Female,,,,https://www.thenews.com.pk/print/860156-woman-shot-dead-allegedly-by-husband,,,
"5th July, 2021",Mansehra,KP,A man was killed allegedly in the name of honour,"Honour killing, murder",,Male,,,,,https://www.thenews.com.pk/print/860163-man-killed-allegedly-for-honour,,,
"5th July, 2021",Karachi,Sindh,"Minor girl kidnapped, held hostage and forcibly married","Child abuse, kidnapping, forced marriage",14,Female,,,,,https://www.thenews.com.pk/print/871985-fourteen-year-old-girl-being-held-hostage-due-to-docks-police-incompetence,,,
"7th July, 2021",Islamabad,Islamabad,4 men arrested for a months old video that showed sexual harassment and assault of a couple,"Rape, sexual harassment, non-consensual filming, blackmailing",,Female,Male,,,,https://www.dawn.com/news/1633774,Yes,https://www.thenews.com.pk/print/861696-e-11-2-harassment-incident-blackmailing-gang-operating-in-capital-with-impunity,
"10th July, 2021",Lahore,Punjab,A woman was shot dead by her uncle,"Domestic violence, murder",,Female,,,,,https://www.thenews.com.pk/print/864751-woman-gunned-down-by-uncle,,,
"16th July, 2021",Lahore,Punjab,Woman burnt alive by her husband,"Domestic violence, murder",36,Female,,,,,https://www.thenews.com.pk/print/865236-woman-burnt-alive-by-husband-in-elite-town,,,
"16th July, 2021",Hyderabad,Sindh,A woman was beaten to death by her husband,"Domestic violence, murder",,Female,,,,,https://www.dawn.com/news/1635527/landowner-held-after-murder-of-wife,,,
"18th July, 2021",Peshawar,KP,Man held by the police for mistreating and throwing his mother out of their house,Domestic violence,,Female,,,,,https://www.thenews.com.pk/print/866157-man-held-for-throwing-out-mother-on-street,,,
"20th July, 2021",Karachi,Sindh,Man arrested for harassing a woman while she was travelling in rickshaw,Harassment,,Female,,,,,https://www.thenews.com.pk/print/866905-man-held-for-harassing-teacher,,,
"20th July, 2021",Islamabad,Islamabad,Woman shot and beheaded by man in his home ,Murder,27,Female,,,,,https://www.dawn.com/news/1636397/suspect-booked-on-premeditated-murder-charges-in-killing-of-ex-diplomats-daughter,Yes,https://www.thenews.com.pk/print/891479-noor-mukadam-s-murder-zahir-jaffer-s-father-told-him-not-to-panic,
"24th July, 2021",Rawalpindi,Punjab,A man kidnapped a woman and her 14-month old child to rape and kill her,"Murder, rape",39,Female,Male,,,,https://nation.com.pk/25-Jul-2021/man-kills-14-month-old-child-injures-mother-in-chontra,Yes,https://www.thenews.com.pk/print/869611-man-accused-of-killing-mother-child-arrested,
"27th July, 2021",Mansehra,KP,(reported later) A couple killed in the name of honour by the woman's father and others for a suspected affair,"Honour killing, murder",,Female,Male,,,,https://www.thenews.com.pk/print/872341-two-killed-in-name-of-honour,,,
"28th July, 2021",Karachi,Sindh,"A six-year-old girl who had gone missing two days ago was found raped and beaten to death, as her body was found in a rubbish dump","Murder, rape, child abuse",6,Female,,,,,https://www.thenews.com.pk/print/869953-missing-six-year-old-girl-found-raped-and-beaten-to-death,Yes,https://www.thenews.com.pk/print/870533-two-negligent-cops-suspended-in-six-year-old-s-rape-murder-case; https://www.thenews.com.pk/print/871053-key-suspect-likely-among-three-more-men-detained-in-six-year-old-girl-s-rape-and-murder-case;https://www.thenews.com.pk/print/871578-prime-suspect-changing-statements-as-police-probe-minor-girl-s-rape-and-murder; https://www.thenews.com.pk/print/872389-six-year-old-maham-s-rapist-murderer-is-her-neighbour-police; https://www.thenews.com.pk/print/888804-minor-s-rape-murder-case-sent-to-model-court-for-speedy-trial ,
"29th July, 2021",Karachi,Sindh,Man arrested for attempting to sexually assault a minor girl,"Child abuse, attempted rape",10,Female,,,,,https://www.thenews.com.pk/print/871054-fir-lodged-against-man-for-attempt-to-rape-minor-girl,,,
"29th July, 2021",Karachi,Sindh,11-year-old boy was physically abused by a seminary teacher,"Child abuse, rape",11,Male,,,,,https://www.thenews.com.pk/print/871071-teacher-booked-for-assaulting-boy,,,
"31st July, 2021",Karachi,Sindh,Woman believed to be set on fire by stepmother and stepbrother,"Domestic violence, murder, burn",39,Female,,,,,https://www.thenews.com.pk/print/872391-case-filed-against-stepfamily-after-jauhar-burns-victim-dies,,,
"1st August, 2021",Nowshera,KP,A man was arrested for allegedly assaulting his niece. Earlier he had also abused the victim's sister,"Child abuse, sexual assault","5, 8",Female,Female,,,,https://www.thenews.com.pk/print/872056-man-held-for-assaulting-girl-in-nowshera,,,
"2nd August, 2021",Lahore,Punjab,Woman tortured to death by in-laws,"Domestic violence, murder, torture",19,Female,,,,,https://www.thenews.com.pk/print/872445-woman-tortured-to-death-by-in-laws,,,
"2nd August, 2021",Lahore,Punjab,A man attempted to sexually assault a minor after luring her to his house,"Child abuse, attempted sexual assault",6,Female,,,,,https://www.thenews.com.pk/print/872445-woman-tortured-to-death-by-in-laws,,,
"2nd August, 2021",Lahore,Punjab,Attempted sexual assault on a minor girl when playing outside her house when her three neighbours took her to their house and attempted to assault her,"Child abuse, attempted sexual assault",7,Female,,,,,https://www.thenews.com.pk/print/872445-woman-tortured-to-death-by-in-laws,,,
"3rd August, 2021",Faislabad,Punjab,The imam of a mosque in Faisalabad was arrested after a video of him trying to rape two small girls inside went viral on social media.,"Child abuse, rape","5, 7",Female,Female,,,,https://www.samaa.tv/news/2021/08/faisalabad-imam-arrested-for-attempted-rape-of-two-girls/,,,
"3rd August, 2021",Haripur,KP,Minor Christain girl kidnapped and recovered on (August 12th),"Child abuse, kidnapping",14,Female,,,,,https://www.thenews.com.pk/print/877614-missing-christian-girl-recovered-two-held,,,
"4th August, 2021",Sahiwal,Punjab,"Four girls, who had been missing for the last five days, were recovered from Sahiwal after they were sold by a rickshaw driver and his accomplices for prostitution.","Child abuse, attempted sexual assault, child trafficking","10, 11, 14, 8",Female,Female,Female,Female,,https://www.thenews.com.pk/print/873286-four-missing-girls-recovered-from-sahiwal,Yes,https://www.thenews.com.pk/print/874050-four-accused-remanded-in-lahore-girls-abduction-case,
"7th August, 2021",Nankana Sahib,Punjab,Husband kills his wife with an axe in front of his daughter ,"Domestic violence, murder",,Female,,,,,https://www.independenturdu.com/node/75571,,,
"10th August, 2021",Karachi,Sindh,Husband kills wife for a doemstic dispute,"Domestic violence, murder",45,Female,,,,,,,https://www.thenews.com.pk/print/876328-mother-of-nine-stabbed-to-death-by-husband,
"10th August, 2021",Lahore,Punjab,A man gunned down his sister in the name of honour. She was recently divorced and the kiler alleged that she had a relationship with another man as a pretext for the murder.,"Domestic violence, murder, honour killing",27,Female,,,,,https://www.thenews.com.pk/print/876472-man-kills-sister-for-honour,,,
"11th August, 2021",Nowshera,KP,Five men have been accused of sexually assaulting a minor boy by taking him to a maize crop and blackmailed him through a video in which he was being sexually assaulted,"Child abuse, sexual assault, blacmailing, non-consensual filming ",13,Male,,,,,https://www.thenews.com.pk/print/877079-five-held-for-sexually-assaulting-boy,,,
"12th August, 2021",Mansehra,KP,"A man was arrested for raping a woman who had left her home after developing differences with her in-laws. The rapist was the watchman of the local bazaar after she was handed over to him by jirga members who found her outside the offices of the Forest Department. The watchman not only sexually assaulted her but also snatched two tolas of gold and Rs20, 000 cash from her. ","Rape, robbery",,Female,,,,,https://www.thenews.com.pk/print/877684-watchman-arrested-for-sexually-assaulting-woman,,,
"13th August, 2021",Timergara,KP,Unidentified gunmen shot dead a female CT teacher,Murder,40,Female,,,,,https://www.thenews.com.pk/print/878028-female-teacher-shot-dead-in-lower-dir,,,
"14th August, 2021",Lahore,Punjab,A woman was assaulted and harassed by a crowd of nearly 400 men at minaar-e-Pakistan,Harassment,,Female,,,,,https://www.thenews.com.pk/print/880306-female-tiktoker-harassed-tortured-police-register-case-against-400-people; https://www.thenews.com.pk/print/881955-lahore-harassment-case-police-trying-to-convince-victim-to-identify-culprits ,Yes,https://www.thenews.com.pk/print/880273-minar-e-pakistan-incident-pm-takes-notice-of-assault-on-female-tiktoker; https://www.thenews.com.pk/print/880903-minar-e-pakistan-incident-28-emergency-calls-but-no-response-on-ground; https://www.thenews.com.pk/print/890492-remand-extended-in-tiktoker-assault-case ,
"14th August, 2021",Lahore,Punjab,3 women were harassed by a man while riding on a rickshaw,Harassment,,Female,Female,Female,,,https://www.thenews.com.pk/print/880907-another-harassment-video-sparks-anger-on-social-media; https://www.thenews.com.pk/print/881385-girl-harassment-case-registered,,,
"16th August, 2021",Lahore,Punjab,A minor boy was sexually assaulted by a man who lured the boy and subjected him to assault.,"Child abuse, rape","Unknown, but minor",Male,,,,,https://www.thenews.com.pk/print/879286-minor-assaulted-in-kot-lakhpat,,,
"16th August, 2021",Manshera,KP,"A man was arrested for taking a boy to a nearby agriculture field, raping him and then attempting to strangulate him to hide his crime.","Child abuse, rape, attempted murder",5,Male,,,,,https://www.thenews.com.pk/print/880876-man-arrested-for-attempted-murder-sexual-abuse,,,
"17th August, 2021",Kasur,Punjab,Three accused gang-raped a woman after calling to their village under the pretext of arranging a job for her,Gang rape,,Female,,,,,https://www.thenews.com.pk/print/879861-woman-gang-raped-in-kasur,,,
"17th August, 2021",Lahore,Punjab,A man and woman kill the woman's mother after she forbid them from meeting,Murder,,Female,,,,,https://www.thenews.com.pk/print/879635-woman-lover-arrested-for-killing-mother,,,
"18th August, 2021",Nowshera,KP,"The police arrested a man on the charges of blackmailing, sexually abusing and video-filming women. It is alleged that accused would collect data from the memory cards of the cellphones, which the children would bring to him for downloading games and movies and use the material to blackmail women and sexually abuse them.","Blackmailing, harassment, non-consensual filming ",,Female,,,,,https://www.thenews.com.pk/print/880369-man-arrested-for-blackmailing-and-sexually-abusing-women,,,
"21st August, 2021",Karachi,Sindh,"A man was arrested for throwing acid on his former wife. The suspect admitted that both of them uploaded videos to TikTok, but he later asked his then wife not to post videos on the platform. He also admitted that when she refused to comply, he beat her up and injured her a few months ago, following which she left their house to move back in with her parents, filing for divorce.","Domestic violence, acid attack",21,Female,,,,,https://www.thenews.com.pk/print/881623-man-woman-arrested-for-attacking-former-spouses-with-acid,Yes,,
"22nd August, 2021",Karachi,Sindh,The police arrested a woman for allegedly throwing acid on her former husband for refusing to remarry.,"Domestic violence, acid attack",,Male,,,,,https://www.thenews.com.pk/print/881623-man-woman-arrested-for-attacking-former-spouses-with-acid,,,
"22nd August, 2021",Mardan,KP,Police arrested a man for wife's and another man's murder ,"Doemstic violence, honour killing, murder",,Female,Male,,,,https://www.thenews.com.pk/print/881841-man-held-for-wife-s-murder,,,
"23rd August, 2021",Lahore,Punjab,A girl was was harassed by a man through indecent gestures on the road,Sexual harassment,,Female,,,,,https://www.thenews.com.pk/print/882276-another-girl-harassed-accused-held,,,
"23rd August, 2021",Lahore,Punjab,A woman and her daugher were gang raped by a rickshaw driver and his accomplice,"Child abuse, gang rape","15, 35",Female,Female,,,,https://www.thenews.com.pk/print/882413-rapists-of-mother-daughter-arrested-in-lahore,Yes,https://www.thenews.com.pk/print/882608-rapists-of-mother-daughter-jailed,
"24th August, 2021",Lahore,Punjab,A man tortured his sister-in-law for refusing his marriage proposal,Domestic violence,,Female,,,,,https://www.thenews.com.pk/print/882605-woman-tortured-over-turning-down-proposal,,,
"24th August, 2021",Lahore,Punjab,A man was arrested for torturing his wife,Domestic violence,,Female,,,,,https://www.thenews.com.pk/print/882605-woman-tortured-over-turning-down-proposal,,,
"24th August, 2021",Lahore,Punjab,A man attempted physical assault on a minor girl by luring her to his house while she was going to a nearby shop.The victim raised hue and cry and the suspect fled as people gathered,"Child abuse, sexual assault","Unknown, but minor",Female,,,,,https://www.thenews.com.pk/print/882605-woman-tortured-over-turning-down-proposal,,,
"25th August, 2021",Lahore,Punjab,Police arrested a man for sexually assaulting a differently abled minor girl as she was playing in the street,"Child abuse, sexual assault","Unknown, but minor",Female,,,,,https://www.thenews.com.pk/print/883191-man-arrested-for-assaulting-special-girl,,,
"26th August, 2021",Lahore,Punjab,"Special Assistant to CM Punjab MPA Khurram Sohail Leghari was arrested for harassing a women. He forcibly got her to sign a blank Nikkah form to give a cover to his physical relationship with her. The victim alleged that recently the accused along with armed men attacked her house. As the guards stopped him from entering her house, he opened fire.","Harassment, sexual assault, physical assault and blackmailing",,Female,,,,,https://www.thenews.com.pk/print/883984-sacm-booked-on-woman-s-complaint,,,
"26th August, 2021",Lahore,Punjab,A transgender person was tortured by two suspects while assing through a market where the suspects harassed the victim.,"Torture, harassment",,Female,,,,,https://www.thenews.com.pk/print/883753-transgender-harassed-tortured,,,
"27th August, 2021",Karachi,Sindh,A court on remanded a suspect into the custody of the Federal Investigation Agency for a case pertaining charges of harassing a female and sharing her obscene pictures on the internet.,"Online harassment, blackmailing, non-consensual sharing of information",,Female,,,,,https://www.thenews.com.pk/print/884266-man-remanded-to-fia-custody-for-harassing-woman-with-indecent-pictures,,,
,Chak Jhumra,Punjab,Teenage by gang raped by three men as they entered his house and raped him at gun point,"Child abuse, gang rape",15,Male,,,,,https://docs.google.com/spreadsheets/d/1ADasC17-J24pIPxV5yLN02nQJeqsR2qtMj9yliIO9xw/edit?usp=sharing,,,
"28th August, 2021",Lahore,Punjab,A person attempted physical assault on a 10-year-old girl on finding the victim alone at home barged into the house and attempted assault on her.,"Child abuse, rape",10,Female,,,,,https://www.thenews.com.pk/print/884902-lahore-man-attempting-assault-on-10-year-old-girl-arrested,,,
"28th August, 2021",Lahore,Punjab,The police arrested a suspect for harassing a woman through indecent gestures.,Sexual harassment,,Female,,,,,https://www.thenews.com.pk/print/884762-man-held-for-assault-attempt-on-girl,,,
"28th August, 2021",Peshawar,KP,A couple was shot dead in an apparent incident of honour killing,"Honour killing, murder",,Female,Male,,,,https://www.thenews.com.pk/print/884831-couple-shot-dead,,,
"29th August, 2021",Karachi,Sindh,A four-year-old boy was molested by a young man at a school when the victim entered the school to fetch his cricket ball.,"Child abuse, rape",4,Male,,,,,https://www.thenews.com.pk/print/886046-four-year-old-boy-falls-victim-to-molestation-in-north-nazimabad,,,
"30th August, 2021",Karachi,Sindh,The police detained a teenage boy for allegedly sexually abusing a 13-year-old girl,"Child abuse, rape",13,Female,,,,,https://www.thenews.com.pk/print/885641-teenage-boy-detained-for-raping-13-year-old-friend,,,
"30th August, 2021",Lahore,Punjab,A step-father was booked for sexually assaulting his teenage step-daughter for three years.,"Child abuse, rape, blackmailing, non-consensual filming ","Unknown, but minor",Female,,,,,https://www.thenews.com.pk/print/885689-man-arrested-for-molesting-step-daughter-for-three-years,,,
"31st August, 2021",Lahore,Punjab,A woman was raped by a man. The rapist also uploaded the rape video on social media.,"Rape, non-consensual filming",,Female,,,,,https://www.thenews.com.pk/print/886243-woman-raped-in-lahore,,,
"1st September, 2021",Lahore,Punjab,Two young girls were gang raped by six persons,"Child abuse, gang rape","16, 18",Female,Female,,,,https://www.thenews.com.pk/print/886560-two-more-raped-in-gujjarpura,,,
"1st September, 2021",Lahore,Punjab,"The police arrested three accused, including her husband, brother in law and nephew, for torturing a woman. The accused also shaved off the woman's hair and eyebrows.",Doemstic violence,,Female,,,,,https://www.thenews.com.pk/print/886560-two-more-raped-in-gujjarpura,,,
"1st September, 2021",Lahore,Punjab,The police arrested two men for torturing their female relative. The accused were the victim’s brother-in-law and husband of the victim’s sister-in-law. The accused tortured the woman and tore her clothes.,Domestic violence,,Female,,,,,https://www.thenews.com.pk/print/886560-two-more-raped-in-gujjarpura,,,
"1st September, 2021",Lahore,Punjab,The police arrested a youth for making obscene gestures to a woman,Harassment,,Female,,,,,https://www.thenews.com.pk/print/886560-two-more-raped-in-gujjarpura,,,
"2nd September, 2021",Lahore,Punjab,A man was shot dead in the name of honour by the brother of a woman he went to meet,"Honour killing, murder",,Male,,,,,https://www.thenews.com.pk/print/887171-man-shot-dead-in-name-of-honour-in-lahore,,,
"2nd September, 2021",Islamabad,Islamabad,"A female officer of the federal government filed a complaint against a federal secretary, accusing him of sexual harassment at the workplace.",Workplace harassment,,Female,,,,,https://www.thenews.com.pk/print/887166-sexual-harassment-charges-secretary-sent-on-forced-leave,,,
"2nd September, 2021",Karachi,Sindh,A man attacked his estranged wife with acid. The woman's sister-in-law and son were also injured in the incident.,"Domestic violence, acid attack",,Female,Female,Male,,,https://www.thenews.com.pk/print/886904-man-attacks-estranged-wife-with-acid-in-qayyumabad,,,
"3rd September, 2021",Lahore,Punjab,The police arrested a man who was wanted in a rape case for nearly a year,"Child abuse, rape, abduction","Unknown, but minor",Female,,,,,https://www.thenews.com.pk/print/886992-rapist-arrested-after-one-year,,,
"3rd September, 2021",Gujrat,Punjab,Three men kidnapped a girl and gang raped her. The victim died soon after the incident as the culprits dumped her upon the deterioration of her condition and escaped.,"Gang rape, abduction, murder",,Female,,,,,https://www.thenews.com.pk/print/888591-girl-dies-as-three-men-gang-rape-her-in-gujrat,,,
"4th September, 2021",Toba Tek Singh,Punjab,A man was shot dead by two brothers for sending objectionable messages to their sister,"Honour killing, murder",,Male,,,,,https://www.thenews.com.pk/print/888162-two-brothers-kill-youth-for-sending-objectionable-messages-to-sister,,,
"4th September, 2021",Karachi,Sindh,A man killed his aunt at their house,"Domestic violence, murder",45,Female,,,,,https://www.thenews.com.pk/print/888029-woman-shot-dead-by-nephew,,,
"5th September, 2021",Muzaffargarh,Punjab,A man abducted and raped a woman sub-inspector. The policewoman was on her way to the Sadar police station by a rickshaw when accused intercepted and abducted her at gunpoint.,"Rape, abduction",,Female,,,,,https://www.thenews.com.pk/print/888593-woman-sub-inspector-assaulted-in-muzaffargarh,,,
"5th September, 2021",Lahore,Punjab,A girl was shot at and wounded by her brother in the name of honour,"Honour crime, domestic violence",,Female,,,,,https://www.thenews.com.pk/print/888445-man-injures-sister-for-honour,,,
"5th September, 2021",Lahore,Punjab,A man was arrested for molesting a boy and his sister for the last six years. The manused to make their videos and blackmail them for developing illicit relations.,"Harassment, blackmailing, non-consensual filming",,Female,Male,,,,https://www.thenews.com.pk/print/888900-man-arrested-for-molesting-boy-sister,,,
"6th September, 2021",Karachi,Sindh,A young man was killed and a young woman seriously injured for ‘honour’,"Honor killing, murder","25, 20",Male,Female,,,,https://www.thenews.com.pk/print/888802-youth-killed-woman-injured-for-honour,,,
"6th September, 2021",Lahore,Punjab,The police arrested a man of harassing women in public spaces after a video had gone viral on social media. The police arrested him through CCTV.,Harassment,,Female,,,,,https://www.thenews.com.pk/print/888900-man-arrested-for-molesting-boy-sister,,,
